,region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
68,Brandenburg_DE,60.0,46.0,43.0,42.0,40.0,50.0,64.0,99.0,107.0,162.0,225.0,316.0,392.0,500.0,710.0,950.0,1170.0,1407.0,1600.0,1555.0,1586.0,1638.0,1737.0,1869.0,1977.0,2053.0,2160.0,2123.0,2087.0,2012.0,1716.0
69,Bratislavský_SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,52.0,59.0,77.0,89.0,91.0,63.0,70.0,65.0,75.0,101.0,111.0,114.0,132.0,129.0,109.0,127.0,143.0,149.0,192.0,202.0
70,Brașov_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,16.0,18.0,25.0,20.0
71,Bremen_DE,110.0,117.0,129.0,137.0,142.0,143.0,149.0,146.0,133.0,137.0,157.0,167.0,182.0,218.0,252.0,309.0,349.0,451.0,510.0,543.0,627.0,750.0,811.0,888.0,1004.0,1014.0,946.0,935.0,917.0,827.0,724.0
72,Bretagne_FR,220.0,249.0,266.0,240.0,253.0,271.0,276.0,283.0,283.0,285.0,305.0,365.0,449.0,779.0,1153.0,1451.0,1777.0,2201.0,2427.0,2623.0,2924.0,3242.0,3730.0,4217.0,4608.0,5414.0,6573.0,7227.0,8038.0,8275.0,7494.0
73,BritishColumbia_CA,977.0,983.0,1067.0,1207.0,1420.0,1671.0,1950.0,2202.0,2384.0,2594.0,2736.0,2870.0,2990.0,3171.0,3376.0,3537.0,3942.0,4504.0,4855.0,5154.0,5271.0,5247.0,5197.0,5509.0,5866.0,6433.0,7020.0,7497.0,7801.0,7819.0,7785.0
74,Bruxelles_BE,842.0,894.0,911.0,920.0,825.0,822.0,738.0,678.0,606.0,581.0,553.0,580.0,585.0,665.0,791.0,854.0,979.0,1123.0,1216.0,1268.0,1349.0,1406.0,1537.0,1672.0,1872.0,2031.0,2295.0,2603.0,2987.0,2945.0,2930.0
75,Bryansk_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,6.0,9.0
76,Bucharest_RO,24.0,19.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,18.0,20.0,24.0,31.0,32.0,30.0,51.0,54.0,75.0,102.0,126.0,136.0,210.0,282.0,379.0,461.0,528.0,535.0,505.0,436.0
77,Budapest_HU,707.0,706.0,703.0,642.0,578.0,593.0,562.0,519.0,466.0,421.0,388.0,360.0,350.0,405.0,503.0,543.0,586.0,603.0,595.0,547.0,497.0,441.0,397.0,358.0,342.0,349.0,435.0,553.0,590.0,557.0,537.0
