,region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
30,Arizona_US,32404.099955319438,32806.13293376908,33449.90066657932,34316.787554248236,35323.79087771854,36311.85250102746,37444.68422040903,38428.118870090795,39267.77170707084,40015.60080896326,40879.14404287449,41941.74419689989,43143.43460481268,44193.41806956405,44787.34238276537,44635.63771642737,44111.48356712076,43500.19704636975,43074.67859791642,42995.04312767706,43448.09573413746
31,Arkansas_US,28915.955627628056,29594.381834942025,30374.123537844036,31025.636344450817,31703.516070177116,32397.811910677876,33049.9747196738,33741.611351618245,34418.57492912207,35265.05744058996,36147.46647553517,37115.597348846844,37947.10433629587,38885.541943010954,39522.36034419597,39834.250446769875,40104.96203172783,40384.79951022553,40574.23424996814,40838.69966790902,41316.469820336395
32,Arkhangel'sk_RU,16691.872027722606,15170.517126093147,13617.789214734876,12656.566893429923,12128.750554636212,12026.101613050916,12742.099941283532,13481.13500288233,14420.409179420036,15549.815352681133,17139.86715014928,17929.819048727117,19488.97231376873,21529.377678207315,22664.58989205106,23709.520857546795,24182.15485768651,24291.500968444143,23838.319762339896,23996.103777190194,23676.554004016383
33,Assam_IN,1571.1599637004574,1574.3514597942074,1608.9254723227896,1649.7623095941312,1707.8477930640242,1786.049272437119,1861.690842082698,1922.1462407583845,2003.3447882526677,2078.3049983326982,2154.257911918826,2216.50900509718,2278.4967064119664,2318.7160746951217,2361.5510755525916,2396.4269363567073,2456.983487519055,2544.7053820503056,2650.24597894436,2774.2958145007624,2914.442710842226
34,Astrakhan'_RU,9995.940606352075,9092.848383764525,8301.80178639781,7870.132832374764,7676.866346012287,7663.534934069763,8175.206546035843,8652.182405926116,9294.456218224916,10050.711802174937,10675.628117884344,10911.920329430355,11316.199724697708,11672.913143353486,12410.996949591708,12920.013896386228,12888.57584406407,12834.253033723304,12710.835199434672,12051.22002149419,11763.254871280227
35,Atacama_CL,10532.415826724275,11886.975717428188,13245.016312835385,14484.50890891335,15666.856348149464,16420.952457090436,16742.24144491793,16947.641430022886,17145.767057291665,17433.01154444839,18187.27725408381,19373.193945016574,20709.854814946335,22176.761458925186,23545.733804746684,24440.29642943103,25716.999980666034,26996.33776870265,28256.182670059974,29546.655866871843,31021.64775252525
36,Attica_GR,22891.774190340908,23301.933884943177,23676.568536931816,24103.412009943182,24711.09260653409,25383.545703125,26186.432009943186,27256.465333806816,28530.45294034091,29994.335333806823,31635.774644886365,32863.17722301137,34201.674751420454,35484.711882102274,36472.066349431814,37265.426171875,37637.83835227272,36953.488245738634,35571.085468749996,34000.673444602275,32408.899865056817
37,Auckland_NZ,23784.096484375,24078.030859375,24754.768359375,25462.237109375,25916.7734375,26453.399609375,26956.43515625,27515.795703125,28219.344140625,29092.716796875,29844.864453125,30617.98828125,31339.226953125,32007.03984375,32377.27890625,32508.35703125,32514.833203125,32536.38125,32575.6875,32811.1453125,33255.632421875
38,Aust-Agder_NO,35404.96100044432,37163.858530805686,38949.634012144554,40715.963684834125,42211.719712677725,43574.638140550946,45506.37618113152,46730.01424763033,47553.59427206754,47981.18630035545,48101.80216232228,47595.44674170617,46912.141313684835,46671.120919727495,47972.97187129739,48879.02793616706,48841.01367742891,49278.187444460906,49464.970134774885,48467.44601969786,47985.08193868483
39,AustralianCapitalTerritory_AU,40726.08074100378,40725.584019886366,41046.473804450754,41679.94965672348,42476.10655776515,43299.49711174243,44589.40596590909,45768.47161458334,47219.194199810605,48234.49057765151,49199.81278409091,49888.22107007576,50854.233096590906,51704.725449810605,52995.5654592803,54117.14829545454,55219.3310842803,56200.074976325755,57107.70589488636,57663.18335700758,58265.62492897728
40,Auvergne-Rhône-Alpes_FR,26624.03058191248,26789.37923056113,26936.33081648543,27496.07705243085,28399.960308013087,29389.900778940566,30468.967358068516,31567.64565165752,32224.212631308066,32639.6172709697,33087.38048854518,33363.10349484005,33748.82397922825,34199.18772467536,34575.25830078125,34476.29483543603,34421.45978476035,34310.29281599715,34145.470946935704,34025.77927938925,34161.50112304687
41,Aveiro_PT,18205.192755681815,18677.353870738636,19137.7951615767,19823.493634588067,20615.29833984375,21316.18346058239,21801.573668323865,22202.046528764207,22181.425799005683,22116.528488991484,22110.319762073865,22154.533522727277,22209.167595880685,22402.97094282671,22601.572043678978,22641.046679687504,22825.93307883523,22873.838272372155,22658.239994673295,22442.037908380677,22391.90522017045
42,Aydin_TR,11145.748407192888,11239.678234442348,11771.00337419181,12326.176922817887,12868.905128636852,13038.498338160021,13222.476656788791,12789.07574925916,12511.861964574355,12207.565446524786,12433.60671639278,12690.92909146013,13428.509662917564,14164.59399077317,14793.948920730065,15039.96889143319,15320.366557785557,15660.633989426186,15907.134467605065,16248.274984846445,16822.15411503233
43,Bacău_RO,9257.0564453125,9088.4708984375,9288.83359375,9481.5294921875,9589.2625,9503.411328125,9276.59375,9242.394921875,9526.1494140625,9960.4232421875,10736.2474609375,11409.1103515625,11866.0794921875,12288.6794921875,12899.4744140625,13107.7,13419.406640625,13684.045703125,13849.4783203125,13840.291015625,14110.3640625
44,Baden-Württemberg_DE,35973.92890625,36155.44140625,36262.57265625,36444.68125,37068.49375,37730.896875,38477.42890625,39384.07890625,40122.01875,40639.521875,40999.91953125,41142.859375,41521.10078125,42291.6890625,43138.5703125,43265.97109375,43878.31640625,44335.58359375,44655.8765625,44796.81875,45899.240625
45,Bahia_BR,5283.549003545895,5349.6155992418135,5454.032896311405,5642.255265271852,5825.467465153655,5831.316800831699,5845.224735189402,5813.103441514357,5821.955563076569,5822.523059826164,5978.481847728321,6174.986812334237,6358.417763145756,6549.611812089194,6789.1364603321035,7058.3612018061,5923.995927447893,4808.412779844615,3612.2206853865164,2400.8890117421734,1084.597537376038
46,BajaCaliforniaSur_MX,17471.909375,17476.872265625,17648.4875,17848.75234375,17948.52109375,18021.76796875,18275.977734375,18434.673046875,18397.9875,18464.3984375,18565.171484375,18631.42578125,18624.562109375,18384.88828125,18032.661328125,17746.329296875,17265.6998046875,16813.9013671875,16828.2478515625,16936.8408203125,16986.0435546875
47,BajaCalifornia_MX,16493.239760129967,16486.1159308104,16546.98718284117,16820.402407659596,17032.922260846717,17273.297400014337,17944.09348838876,18591.444893205276,18670.222257860285,18759.499918769114,18925.88849507836,19008.599288035166,19153.98591360856,18856.60169211105,18383.954331517583,17527.788073991782,16594.227615515098,15562.926322988342,15355.871805117547,15301.479733491014,15453.859684394114
48,Balzers_LI,19339.125,19575.696875,19835.987890625,20174.2984375,20649.21484375,21404.209765625,22962.608984375,25826.6625,30403.28125,37073.5890625,45932.4765625,56774.471875,69394.1,83585.88828125,99144.3609375,102406.8421875,104489.871875,103647.8734375,99347.0109375,91362.6453125,93337.6375
49,Banskobystrický_SK,10362.050030048076,10213.055736871302,10364.649164432321,10886.465661982249,11501.831165634245,11979.583106046597,12365.531110160873,12716.733114136467,13155.663764330622,13611.711285364276,14126.587389053257,14394.097036797339,14883.804619313978,15519.602320636095,16267.024917945635,16655.512669887205,17516.147374260356,18138.403617326185,18461.629805380915,18583.73918731509,19125.080031897185
50,Baranya_HU,11124.07201120477,11019.208287931742,11062.974907483553,11245.981023848684,11530.759696237665,11815.979911081417,12159.413291529605,12579.660749897204,13014.990594161183,13521.349948601972,14043.787841796875,14610.611636513157,15182.800899465461,15646.61964689556,15969.186680201481,15940.582653166119,15730.14834498355,15493.558555201482,15237.581799958882,15021.017763157894,15187.37550627056
51,Basel-Landschaft_CH,46716.90703125,46763.9359375,46829.4734375,47204.20546875,47683.21484375,48102.228125,49196.3890625,50469.6609375,51285.95078125,51426.91875,51645.07421875,51623.12890625,51632.35234375,52016.50625,52779.40390625,53099.01171875,53395.47421875,53519.42265625,53474.05234375,53520.3875,54012.346875
52,Bashkortostan_RU,17226.499811288653,15656.41736607143,14250.563322490201,13477.105739465373,12539.015167819032,12164.866820013067,12115.57572292846,12052.71524805368,11858.659964135997,12431.778489764807,12987.399747454814,13392.458688684124,14312.478727882732,15416.091983953072,16494.61307668227,16815.415644939567,16664.27512841627,16181.028363390136,15682.267116792791,14924.917078546929,14728.712425617923
53,Basilicata_IT,20052.39126490543,20539.9324270148,21088.880394222862,21773.48933490954,22519.04615285773,23345.219906455593,24069.80883018092,24663.68597090872,25085.138404605263,25349.760125411183,25478.682491262334,25521.26825657895,25815.64749948602,26124.524925472862,26453.129777446546,26434.62009148849,26506.004111842107,26364.67092927632,26011.03785721628,25540.632681435036,25278.20973221628
54,Bayern_DE,35491.3578125,36062.65078125,36398.8703125,36757.45625,37461.9984375,38214.38359375,39234.6671875,40323.63984375,41361.51484375,42070.24375,42705.29765625,43080.41015625,43648.14765625,44431.06640625,45286.9609375,45513.45625,46010.04296875,46502.20234375,46894.80625,47128.90078125,48141.2046875
